iter	Passed	Remaining
0	144	144460
1	146	73112
2	148	49186
3	149	37242
4	151	30139
5	153	25385
6	155	22018
7	156	19460
8	158	17432
9	160	15848
10	162	14577
11	163	13482
12	165	12545
13	166	11713
14	168	11058
15	170	10463
16	171	9906
17	172	9427
18	174	9027
19	176	8649
20	178	8309
21	180	8002
22	181	7705
23	183	7466
24	184	7183
25	185	6943
26	186	6720
27	187	6519
28	188	6325
29	190	6145
30	191	5979
31	192	5823
32	193	5672
33	194	5531
34	195	5400
35	196	5273
36	197	5151
37	198	5033
38	199	4919
39	200	4811
40	201	4709
41	202	4612
42	203	4518
43	203	4427
44	204	4342
45	205	4261
46	206	4183
47	206	4103
48	207	4027
49	208	3954
50	208	3882
51	209	3815
52	209	3750
53	210	3686
54	211	3625
55	211	3566
56	212	3509
57	212	3453
58	213	3400
59	213	3348
60	214	3297
61	214	3249
62	215	3201
63	215	3154
64	216	3111
65	216	3068
66	217	3026
67	217	2981
68	218	2944
69	218	2907
70	219	2870
71	219	2834
72	220	2799
73	220	2765
74	221	2731
75	222	2699
76	222	2667
77	223	2636
78	223	2606
79	224	2576
80	224	2548
81	225	2520
82	225	2493
83	226	2468
84	226	2440
85	227	2416
86	227	2390
87	228	2366
88	228	2343
89	229	2319
90	229	2296
91	230	2273
92	230	2252
93	231	2230
94	231	2209
95	232	2190
96	233	2173
97	234	2153
98	234	2135
99	235	2116
100	235	2097
101	235	2077
102	236	2059
103	237	2041
104	237	2024
105	238	2007
106	238	1990
107	238	1973
108	239	1957
109	240	1941
110	240	1926
111	241	1911
112	241	1896
113	242	1881
114	242	1867
115	243	1852
116	243	1838
117	244	1825
118	244	1810
119	245	1797
120	245	1784
121	246	1771
122	246	1756
123	246	1744
124	247	1732
125	248	1720
126	248	1708
127	248	1695
128	249	1684
129	249	1672
130	250	1661
131	251	1650
132	251	1639
133	251	1628
134	252	1617
135	252	1607
136	253	1596
137	253	1585
138	254	1575
139	254	1565
140	255	1555
141	255	1546
142	256	1536
143	256	1527
144	257	1518
145	257	1508
146	258	1499
147	258	1490
148	259	1481
149	259	1472
150	260	1463
151	260	1455
152	261	1446
153	261	1438
154	262	1430
155	262	1422
156	263	1414
157	263	1406
158	264	1398
159	264	1390
160	265	1382
161	265	1375
162	266	1367
163	266	1360
164	267	1353
165	267	1345
166	268	1338
167	268	1331
168	269	1324
169	269	1317
170	270	1310
171	270	1303
172	271	1297
173	271	1290
174	272	1284
175	273	1278
176	273	1272
177	274	1265
178	274	1259
179	275	1253
180	275	1246
181	275	1240
182	276	1234
183	276	1228
184	277	1222
185	277	1216
186	278	1210
187	278	1204
188	279	1199
189	279	1193
190	280	1187
191	280	1182
192	281	1176
193	281	1171
194	282	1165
195	282	1160
196	283	1155
197	283	1149
198	284	1144
199	284	1139
200	285	1134
201	285	1129
202	286	1124
203	286	1119
204	287	1114
205	287	1109
206	288	1104
207	288	1100
208	289	1095
209	290	1091
210	290	1086
211	291	1081
212	291	1077
213	292	1072
214	292	1068
215	293	1063
216	293	1059
217	294	1054
218	294	1050
219	295	1046
220	295	1041
221	296	1037
222	296	1033
223	297	1028
224	297	1024
225	297	1020
226	298	1016
227	298	1012
228	299	1008
229	300	1004
230	300	1000
231	301	996
232	301	992
233	302	988
234	302	985
235	303	981
236	303	977
237	304	973
238	304	969
239	304	965
240	305	961
241	305	958
242	306	954
243	307	951
244	307	947
245	308	944
246	308	941
247	309	937
248	309	934
249	310	930
250	310	927
251	311	924
252	311	920
253	312	917
254	313	914
255	313	911
256	314	908
257	314	905
258	315	901
259	315	898
260	316	895
261	316	892
262	317	889
263	317	886
264	318	883
265	319	880
266	319	877
267	320	874
268	320	871
269	321	868
270	321	865
271	322	862
272	322	859
273	323	857
274	324	854
275	324	852
276	325	849
277	326	847
278	326	844
279	327	841
280	327	839
281	328	836
282	328	833
283	329	830
284	330	828
285	330	825
286	331	822
287	331	819
288	332	817
289	332	814
290	333	812
291	333	809
292	334	807
293	335	804
294	335	802
295	336	799
296	336	797
297	337	795
298	338	792
299	338	790
300	339	787
301	339	785
302	340	783
303	340	780
304	341	778
305	342	775
306	342	773
307	343	771
308	343	768
309	344	766
310	345	764
311	345	762
312	346	759
313	346	757
314	347	754
315	347	752
316	348	750
317	348	748
318	349	745
319	350	743
320	350	741
321	351	739
322	351	737
323	352	735
324	352	732
325	353	730
326	354	728
327	354	726
328	355	724
329	355	722
330	356	719
331	356	717
332	357	715
333	357	713
334	358	711
335	359	709
336	359	707
337	360	705
338	360	703
339	361	701
340	361	699
341	362	697
342	363	695
343	363	693
344	364	691
345	364	689
346	365	687
347	365	685
348	366	683
349	366	681
350	367	679
351	367	677
