iter	Passed	Remaining
0	133	133473
1	135	67589
2	136	45329
3	137	34334
4	139	27733
5	140	23336
6	142	20201
7	143	17797
8	145	15967
9	146	14518
10	148	13366
11	150	12397
12	151	11521
13	152	10750
14	153	10083
15	154	9505
16	155	9003
17	156	8564
18	158	8184
19	159	7825
20	160	7483
21	162	7209
22	163	6939
23	164	6686
24	165	6452
25	166	6234
26	167	6026
27	168	5837
28	169	5663
29	170	5509
30	171	5354
31	172	5205
32	172	5063
33	173	4930
34	174	4803
35	175	4689
36	176	4597
37	177	4498
38	178	4401
39	179	4316
40	180	4224
41	181	4140
42	182	4057
43	183	3978
44	184	3904
45	185	3838
46	186	3772
47	187	3712
48	188	3649
49	189	3595
50	190	3547
51	191	3492
52	192	3437
53	193	3389
54	194	3342
55	195	3293
56	196	3243
57	196	3199
58	198	3160
59	199	3121
60	200	3083
61	201	3041
62	201	3000
63	202	2960
64	203	2921
65	204	2888
66	205	2867
67	206	2836
68	208	2810
69	209	2779
70	210	2748
71	210	2718
72	211	2688
73	212	2659
74	213	2630
75	214	2604
76	215	2582
77	216	2560
78	217	2537
79	218	2514
80	220	2501
81	221	2479
82	222	2453
83	223	2433
84	224	2412
85	224	2390
86	225	2368
87	226	2347
88	227	2331
89	228	2313
90	229	2294
91	230	2274
92	231	2254
93	231	2235
94	232	2215
95	233	2195
96	234	2183
97	236	2172
98	236	2155
99	237	2139
100	238	2124
101	239	2108
102	240	2093
103	241	2076
104	241	2061
105	242	2045
106	243	2029
107	243	2014
108	244	1999
109	245	1984
110	246	1970
111	246	1956
112	247	1944
113	248	1931
114	250	1925
115	251	1914
116	251	1901
117	252	1890
118	253	1880
119	254	1868
120	255	1857
121	256	1845
122	257	1837
123	258	1827
124	259	1817
125	260	1806
126	260	1793
127	261	1782
128	262	1771
129	262	1759
130	263	1751
131	265	1746
132	266	1738
133	267	1728
134	268	1721
135	269	1712
136	270	1703
137	271	1693
138	272	1686
139	273	1681
140	274	1673
141	275	1662
142	275	1652
143	276	1643
144	277	1634
145	277	1625
146	279	1620
147	281	1617
148	282	1612
149	283	1604
150	284	1597
151	284	1588
152	285	1580
153	286	1572
154	286	1563
155	287	1555
156	288	1547
157	289	1543
158	291	1540
159	292	1535
160	293	1527
161	293	1520
162	294	1513
163	295	1506
164	296	1500
165	297	1493
166	298	1488
167	300	1485
168	301	1481
169	302	1475
170	302	1468
171	303	1463
172	305	1461
173	306	1455
174	307	1450
175	308	1444
176	309	1438
